launchTime, launchX, launchY, landTime, landX, landY, FlightTime, Distance
2.000000, 703220.248882, 4309841.675125, 2.314875, 703276.265570, 4309841.675125, 0.314875, 56.016688
3.000000, 703275.506653, 4309841.012242, 3.478418, 703368.924978, 4309841.012242, 0.478418, 93.418325
4.000000, 703275.275334, 4309842.021769, 4.923307, 703461.059493, 4309842.021769, 0.923307, 185.784159
5.000000, 703368.050314, 4309841.587295, 5.362847, 703440.864364, 4309841.587295, 0.362847, 72.814050
8.000000, 703278.227517, 4309841.128620, 8.301948, 703333.783549, 4309841.128620, 0.301948, 55.556032
9.000000, 703370.947573, 4309841.801573, 9.268591, 703409.554330, 4309841.801573, 0.268591, 38.606757
10.000000, 703371.340375, 4309841.919738, 10.699697, 703507.670893, 4309841.919738, 0.699697, 136.330518
11.000000, 703221.975535, 4309836.320638, 11.518753, 703311.991440, 4309836.320638, 0.518753, 90.015905
12.000000, 703335.177228, 4309841.648171, 12.282896, 703380.957460, 4309841.648171, 0.282896, 45.780231
12.000000, 703312.850548, 4309835.796169, 12.282896, 703358.630779, 4309835.796169, 0.282896, 45.780231
15.000000, 703233.226892, 4309841.301299, 15.324412, 703290.550648, 4309841.301299, 0.324412, 57.323756
15.000000, 702996.116244, 4309980.901991, 15.503640, 703067.850702, 4309980.901991, 0.503640, 71.734459
16.000000, 703410.116632, 4309843.820109, 16.376261, 703480.795563, 4309843.820109, 0.376261, 70.678931
16.000000, 703359.544000, 4309834.641905, 16.710983, 703486.213781, 4309834.641905, 0.710983, 126.669781
20.000000, 702998.316638, 4309985.391819, 20.300571, 703038.845533, 4309985.391819, 0.300571, 40.528895
21.000000, 702900.218260, 4309990.049932, 21.311484, 702940.242780, 4309990.049932, 0.311484, 40.024520
22.000000, 703480.626530, 4309845.193713, 22.250025, 703524.206737, 4309845.193713, 0.250025, 43.580207
23.000000, 703327.908967, 4309905.190269, 23.463822, 703394.721288, 4309905.190269, 0.463822, 66.812321
23.000000, 702909.266381, 4309988.587053, 23.321021, 702955.871076, 4309988.587053, 0.321021, 46.604695
23.000000, 703462.381092, 4309845.744480, 23.403984, 703536.797784, 4309845.744480, 0.403984, 74.416692
24.000000, 702894.022788, 4309812.440505, 24.311484, 702940.846990, 4309812.440505, 0.311484, 46.824202
24.000000, 703395.123737, 4309906.114344, 24.287643, 703435.241375, 4309906.114344, 0.287643, 40.117638
25.000000, 703368.193497, 4309847.962675, 25.419581, 703437.429722, 4309847.962675, 0.419581, 69.236225
25.000000, 703395.381782, 4309904.341431, 25.295802, 703451.480977, 4309904.341431, 0.295802, 56.099194
26.000000, 703328.306338, 4309906.102229, 26.287664, 703359.351751, 4309906.102229, 0.287664, 31.045412
26.000000, 703437.082790, 4309847.017355, 26.403984, 703512.333151, 4309847.017355, 0.403984, 75.250361
27.000000, 703041.239394, 4309985.769502, 27.324412, 703088.145472, 4309985.769502, 0.324412, 46.906077
27.000000, 702941.418807, 4309813.499197, 27.316253, 702998.415924, 4309813.499197, 0.316253, 56.997116
28.000000, 703418.994524, 4309837.782766, 28.669533, 703552.275794, 4309837.782766, 0.669533, 133.281270
28.000000, 703450.995831, 4309903.280910, 28.362847, 703523.902359, 4309903.280910, 0.362847, 72.906528
28.000000, 703452.137061, 4309905.374592, 28.260894, 703496.199450, 4309905.374592, 0.260894, 44.062389
29.000000, 703507.139295, 4309845.375098, 29.254592, 703549.840264, 4309845.375098, 0.254592, 42.700970
29.000000, 702998.420939, 4309812.431499, 29.287664, 703037.606329, 4309812.431499, 0.287664, 39.185390
29.000000, 703497.078235, 4309904.851230, 29.254592, 703542.075903, 4309904.851230, 0.254592, 44.997668
30.000000, 703437.323051, 4309905.565074, 30.419581, 703506.370039, 4309905.565074, 0.419581, 69.046987
30.000000, 703513.755380, 4309847.490125, 30.878917, 703646.883735, 4309847.490125, 0.878917, 133.128355
31.000000, 703332.916018, 4309905.573012, 31.992582, 703515.908180, 4309905.573012, 0.992582, 182.992162
32.000000, 703506.231395, 4309906.609723, 32.268570, 703545.656972, 4309906.609723, 0.268570, 39.425577
32.000000, 703516.275698, 4309906.503390, 32.947292, 703692.169728, 4309906.503390, 0.947292, 175.894030
33.000000, 703114.162379, 4309950.628108, 33.471881, 703184.026901, 4309950.628108, 0.471881, 69.864522
