launchTime, launchX, launchY, landTime, landX, landY, FlightTime, Distance
0.000000, 703750.250000, 4309828.500000, 0.494820, 703933.004582, 4309828.500000, 0.494820, 182.754582
4.000000, 703900.796100, 4310041.913224, 4.611015, 704100.057219, 4310041.913224, 0.611015, 199.261119
5.000000, 703887.207462, 4310042.100480, 5.556355, 704080.851613, 4310042.100480, 0.556355, 193.644151
11.000000, 704104.729194, 4309781.514995, 11.486181, 704297.085095, 4309781.514995, 0.486181, 192.355901
11.000000, 704118.432088, 4309780.935255, 11.381925, 704245.259493, 4309780.935255, 0.381925, 126.827405
14.000000, 703418.136708, 4309784.914562, 14.223373, 703498.372346, 4309784.914562, 0.223373, 80.235638
15.000000, 704243.989752, 4309784.022897, 15.396687, 704343.971109, 4309784.022897, 0.396687, 99.981357
17.000000, 703416.178779, 4309783.118945, 17.314027, 703539.272995, 4309783.118945, 0.314027, 123.094215
19.000000, 703381.158856, 4309784.153294, 19.246118, 703467.287071, 4309784.153294, 0.246118, 86.128214
20.000000, 703121.230439, 4309783.876575, 20.547374, 703333.685728, 4309783.876575, 0.547374, 212.455289
21.000000, 703106.066656, 4309780.428681, 21.315546, 703183.863086, 4309780.428681, 0.315546, 77.796429
22.000000, 704093.822844, 4309774.542538, 22.355210, 704203.790112, 4309774.542538, 0.355210, 109.967268
22.000000, 704136.901475, 4309769.844250, 22.486181, 704303.046786, 4309769.844250, 0.486181, 166.145311
23.000000, 704124.162392, 4309765.573313, 23.381925, 704250.989797, 4309765.573313, 0.381925, 126.827405
24.000000, 703388.184848, 4309780.409075, 24.360389, 703517.888314, 4309780.409075, 0.360389, 129.703466
25.000000, 703282.959429, 4309780.738214, 25.278782, 703361.126719, 4309780.738214, 0.278782, 78.167290
26.000000, 704105.836757, 4309764.475265, 26.381103, 704229.681511, 4309764.475265, 0.381103, 123.844754
27.000000, 703136.934440, 4309784.826576, 27.334261, 703217.594630, 4309784.826576, 0.334261, 80.660190
27.000000, 703550.347706, 4310070.128691, 27.246118, 703633.421507, 4310070.128691, 0.246118, 83.073801
27.000000, 703530.203933, 4310070.323879, 27.249353, 703606.337753, 4310070.323879, 0.249353, 76.133820
28.000000, 703137.584132, 4309784.342402, 28.352827, 703231.075319, 4309784.342402, 0.352827, 93.491187
28.000000, 704088.219374, 4309769.620769, 28.355210, 704198.186642, 4309769.620769, 0.355210, 109.967268
28.000000, 703633.454061, 4310071.145835, 28.441680, 703752.044978, 4310071.145835, 0.441680, 118.590917
29.000000, 703551.561140, 4310071.516672, 29.739591, 703795.764256, 4310071.516672, 0.739591, 244.203115
29.000000, 703217.063909, 4309783.901674, 29.297798, 703318.969573, 4309783.901674, 0.297798, 101.905664
30.000000, 704095.852800, 4309764.527931, 30.355210, 704205.820068, 4309764.527931, 0.355210, 109.967268
30.000000, 703606.942830, 4310071.488018, 30.831837, 703917.351798, 4310071.488018, 0.831837, 310.408967
30.000000, 703752.960352, 4310070.499573, 30.273043, 703832.184868, 4310070.499573, 0.273043, 79.224515
31.000000, 703560.711717, 4310071.779947, 31.398084, 703675.535790, 4310071.779947, 0.398084, 114.824073
31.000000, 703534.616120, 4310073.182920, 31.739591, 703757.693841, 4310073.182920, 0.739591, 223.077720
31.000000, 703753.306198, 4310071.600951, 31.445739, 703893.401969, 4310071.600951, 0.445739, 140.095771
32.000000, 703893.263103, 4310070.602497, 32.481636, 704047.154344, 4310070.602497, 0.481636, 153.891241
33.000000, 703609.164802, 4310070.606266, 33.441680, 703729.711444, 4310070.606266, 0.441680, 120.546641
34.000000, 703925.144420, 4310058.248467, 34.579317, 704104.961970, 4310058.248467, 0.579317, 179.817550
34.000000, 703609.779858, 4310070.642721, 34.831837, 703920.188780, 4310070.642721, 0.831837, 310.408921
35.000000, 704128.476919, 4309751.230344, 35.381200, 704241.557382, 4309751.230344, 0.381200, 113.080464
36.000000, 703634.831993, 4310073.132321, 36.286400, 703698.798929, 4310073.132321, 0.286400, 63.966937
37.000000, 703109.881135, 4309769.761691, 37.325087, 703188.267285, 4309769.761691, 0.325087, 78.386149
37.000000, 703305.032115, 4309777.072062, 37.619490, 703572.687081, 4309777.072062, 0.619490, 267.654966
37.000000, 703420.753617, 4309768.678030, 37.223373, 703500.989255, 4309768.678030, 0.223373, 80.235638
37.000000, 703543.622227, 4310077.438173, 37.404033, 703663.840308, 4310077.438173, 0.404033, 120.218081
38.000000, 703956.850114, 4309784.591181, 38.278761, 704034.859334, 4309784.591181, 0.278761, 78.009219
38.000000, 704142.259963, 4309749.784225, 38.506862, 704310.901679, 4309749.784225, 0.506862, 168.641717
39.000000, 703397.430461, 4309769.888816, 39.366712, 703517.067645, 4309769.888816, 0.366712, 119.637183
39.000000, 704096.681098, 4309754.057423, 39.414465, 704221.677731, 4309754.057423, 0.414465, 124.996633
39.000000, 704147.697243, 4309750.238929, 39.502286, 704292.354604, 4309750.238929, 0.502286, 144.657361
39.000000, 703640.622797, 4310072.148283, 39.416582, 703782.646177, 4310072.148283, 0.416582, 142.023380
39.000000, 704049.173425, 4310071.587706, 39.591684, 704302.502630, 4310071.587706, 0.591684, 253.329205
40.000000, 703280.542635, 4309768.919192, 40.278782, 703358.709925, 4309768.919192, 0.278782, 78.167290
40.000000, 704094.774040, 4309753.911366, 40.414465, 704219.770673, 4309753.911366, 0.414465, 124.996633
40.000000, 703921.008270, 4310072.299772, 40.907794, 704313.021868, 4310072.299772, 0.907794, 392.013597
41.000000, 703270.896759, 4309768.821666, 41.650494, 703548.129087, 4309768.821666, 0.650494, 277.232327
41.000000, 704293.375859, 4309749.708376, 41.225976, 704338.380906, 4309749.708376, 0.225976, 45.005047
41.000000, 703359.631921, 4309769.376378, 41.391810, 703481.242589, 4309769.376378, 0.391810, 121.610668
42.000000, 703266.300179, 4309768.761060, 42.650494, 703543.532506, 4309768.761060, 0.650494, 277.232327
42.000000, 704245.221119, 4309750.584187, 42.415480, 704348.708408, 4309750.584187, 0.415480, 103.487289
43.000000, 703756.680066, 4310075.790467, 43.267781, 703852.460718, 4310075.790467, 0.267781, 95.780652
44.000000, 703121.954307, 4309765.482751, 44.325087, 703201.157650, 4309765.482751, 0.325087, 79.203343
44.000000, 703263.883382, 4309768.160384, 44.283552, 703343.113831, 4309768.160384, 0.283552, 79.230448
44.000000, 703384.008565, 4309768.294819, 44.241569, 703467.004680, 4309768.294819, 0.241569, 82.996115
44.000000, 704240.853782, 4310071.113150, 44.295355, 704343.317852, 4310071.113150, 0.295355, 102.464070
44.000000, 703893.846574, 4310075.432353, 44.914386, 704280.994234, 4310075.432353, 0.914386, 387.147660
44.000000, 703922.727600, 4310075.480605, 44.532380, 704087.257690, 4310075.480605, 0.532380, 164.530090
45.000000, 703112.679755, 4309764.592538, 45.547374, 703324.266588, 4309764.592538, 0.547374, 211.586834
49.000000, 703904.352696, 4310070.928478, 49.538076, 704068.334380, 4310070.928478, 0.538076, 163.981684
49.000000, 703817.288951, 4310071.022086, 49.661262, 704017.958283, 4310071.022086, 0.661262, 200.669332
49.000000, 703805.546732, 4310078.088536, 49.620805, 703971.606589, 4310078.088536, 0.620805, 166.059856
49.000000, 703785.852003, 4310075.065957, 49.574257, 703948.719894, 4310075.065957, 0.574257, 162.867891
50.000000, 704142.514367, 4309737.984049, 50.506862, 704311.156083, 4309737.984049, 0.506862, 168.641717
51.000000, 704131.589708, 4309736.053621, 51.509851, 704327.718500, 4309736.053621, 0.509851, 196.128792
51.000000, 703535.249466, 4310085.126600, 51.245498, 703618.613378, 4310085.126600, 0.245498, 83.363912
53.000000, 703906.867401, 4310076.906250, 53.532380, 704070.549738, 4310076.906250, 0.532380, 163.682336
54.000000, 704107.103739, 4309736.777333, 54.414465, 704233.082077, 4309736.777333, 0.414465, 125.978338
55.000000, 703306.687125, 4309762.867863, 55.619490, 703574.342091, 4309762.867863, 0.619490, 267.654966
55.000000, 704085.666851, 4309738.238748, 55.605253, 704277.734743, 4309738.238748, 0.605253, 192.067892
55.000000, 704147.272087, 4309733.884823, 55.500566, 704290.949752, 4309733.884823, 0.500566, 143.677665
55.000000, 703219.124022, 4310085.182874, 55.266739, 703315.401895, 4310085.182874, 0.266739, 96.277873
57.000000, 704093.191711, 4309736.002068, 57.414465, 704218.188344, 4309736.002068, 0.414465, 124.996633
57.000000, 703886.916702, 4310071.926323, 57.386611, 703994.886370, 4310071.926323, 0.386611, 107.969669
57.000000, 703239.041510, 4310087.876757, 57.484699, 703396.116746, 4310087.876757, 0.484699, 157.075236
58.000000, 703251.751902, 4310085.602931, 58.317319, 703344.985449, 4310085.602931, 0.317319, 93.233547
58.000000, 703236.307587, 4310088.500197, 58.484699, 703393.706270, 4310088.500197, 0.484699, 157.398683
58.000000, 703995.186353, 4310070.962768, 58.472810, 704143.549427, 4310070.962768, 0.472810, 148.363073
59.000000, 703623.299394, 4310085.222132, 59.264491, 703687.560569, 4310085.222132, 0.264491, 64.261175
60.000000, 702724.645553, 4309815.846070, 60.975401, 702593.220835, 4309705.567637, 0.975401, 171.562786
60.000000, 702757.196119, 4309782.765516, 60.432317, 702691.034937, 4309727.249693, 0.432317, 86.367289
60.000000, 702762.377286, 4309778.675672, 60.291034, 702721.196445, 4309744.120843, 0.291034, 53.757771
60.000000, 702933.465027, 4309763.675152, 60.438855, 702857.734558, 4309700.129744, 0.438855, 98.859105
60.000000, 703027.681591, 4309762.544796, 60.413044, 702953.528541, 4309700.322999, 0.413044, 96.799932
60.000000, 703253.914563, 4309762.750309, 60.889091, 703096.861424, 4309630.967078, 0.889091, 205.018312
60.000000, 703301.694498, 4309757.745145, 60.411523, 703228.938421, 4309696.695548, 0.411523, 94.976313
60.000000, 703321.184983, 4309763.605679, 60.920006, 703158.960189, 4309627.482914, 0.920006, 211.769429
60.000000, 703323.070312, 4309759.976465, 60.432656, 703248.365787, 4309697.291925, 0.432656, 97.519832
60.000000, 703353.526424, 4309763.098914, 60.419581, 703278.630632, 4309700.253882, 0.419581, 97.769513
60.000000, 703360.747997, 4309760.633126, 60.268570, 703318.916347, 4309725.532204, 0.268570, 54.607341
60.000000, 703368.161672, 4309761.024928, 60.853772, 703241.842812, 4309655.030819, 0.853772, 164.897561
