launchTime, launchX, launchY, landTime, landX, landY, FlightTime, Distance
2.000000, 702651.262817, 4309858.662520, 2.560828, 702748.436726, 4309858.662520, 0.560828, 97.173909
9.000000, 702750.501179, 4309858.985807, 9.591432, 702850.189962, 4309858.985807, 0.591432, 99.688783
21.000000, 702755.623686, 4309859.994968, 21.591432, 702855.202016, 4309859.994968, 0.591432, 99.578330
23.000000, 702856.218010, 4309860.323266, 23.503640, 702951.126538, 4309860.323266, 0.503640, 94.908527
24.000000, 702668.001292, 4309944.888111, 24.553597, 702767.211578, 4309944.888111, 0.553597, 99.210286
28.000000, 702666.639664, 4309865.141515, 28.560828, 702765.712740, 4309865.141515, 0.560828, 99.073076
40.000000, 702672.782121, 4309850.782175, 40.613861, 702787.605065, 4309850.782175, 0.613861, 114.822944
43.000000, 702674.789583, 4309869.463334, 43.613861, 702789.612527, 4309869.463334, 0.613861, 114.822944
50.000000, 702870.116803, 4309864.559873, 50.511897, 702960.020306, 4309864.559873, 0.511897, 89.903503
52.000000, 702870.910585, 4309859.879413, 52.511897, 702960.814088, 4309859.879413, 0.511897, 89.903503
56.000000, 702873.286778, 4309862.530153, 56.325789, 702931.328742, 4309862.530153, 0.325789, 58.041964
56.000000, 702857.339230, 4309876.283948, 56.484956, 702929.096910, 4309876.283948, 0.484956, 71.757680
57.000000, 702869.552027, 4309852.077311, 57.325789, 702927.019090, 4309852.077311, 0.325789, 57.467062
60.000000, 702694.316501, 4309974.111785, 60.822082, 702561.172159, 4309862.390417, 0.822082, 173.807594
60.000000, 702783.420120, 4309849.598496, 60.830320, 702630.401136, 4309721.200323, 0.830320, 199.752097
61.000000, 702744.618372, 4309840.883800, 61.853772, 702605.437843, 4309724.097470, 0.853772, 181.687277
61.000000, 702776.723811, 4309858.550184, 61.250025, 702733.862225, 4309822.585043, 0.250025, 55.951827
61.000000, 702839.837588, 4309850.882029, 61.445215, 702769.857341, 4309792.161630, 0.445215, 91.352725
61.000000, 702862.942240, 4309844.035319, 61.260894, 702814.814286, 4309803.651171, 0.260894, 62.826583
61.000000, 702847.263663, 4309876.199746, 61.763855, 702672.120523, 4309729.237202, 0.763855, 228.633132
61.000000, 702842.750736, 4309873.000692, 61.291034, 702796.499546, 4309834.191336, 0.291034, 60.376641
62.000000, 702696.538480, 4309986.362249, 62.879304, 702507.474550, 4309827.718774, 0.879304, 246.805433
62.000000, 702839.406450, 4309850.628615, 62.808665, 702704.736233, 4309737.626886, 0.808665, 175.799483
62.000000, 702837.162362, 4309864.188889, 62.267193, 702793.861218, 4309827.854914, 0.267193, 56.525630
63.000000, 702706.769942, 4309950.713229, 63.903137, 702535.860636, 4309807.303293, 0.903137, 223.106255
63.000000, 702699.306007, 4309991.886410, 63.846448, 702507.910285, 4309831.286330, 0.846448, 249.849371
63.000000, 702755.367603, 4309838.817526, 63.933883, 702600.240315, 4309708.650275, 0.933883, 202.504292
63.000000, 702857.294218, 4309879.212742, 63.388277, 702776.968348, 4309811.811334, 0.388277, 104.857976
65.000000, 702696.621241, 4309962.292336, 65.870672, 702561.713941, 4309849.091670, 0.870672, 176.108973
65.000000, 702813.297962, 4309802.955009, 65.388877, 702746.550366, 4309746.947126, 0.388877, 87.132799
66.000000, 702784.856462, 4309864.413678, 66.420500, 702706.926169, 4309799.022398, 0.420500, 101.730773
66.000000, 702792.300282, 4309827.445705, 66.293973, 702747.218371, 4309789.617490, 0.293973, 58.850255
66.000000, 702745.550008, 4309746.756652, 66.432317, 702669.666759, 4309683.083046, 0.432317, 99.058547
67.000000, 702832.531207, 4309857.875297, 67.393974, 702751.550451, 4309789.924375, 0.393974, 105.712869
67.000000, 702864.578494, 4309841.208388, 67.352228, 702784.356729, 4309773.894335, 0.352228, 104.722077
67.000000, 702767.584699, 4309791.527541, 67.270131, 702724.483569, 4309755.361398, 0.270131, 56.264530
67.000000, 702791.975398, 4309827.331928, 67.453277, 702698.204738, 4309748.649001, 0.453277, 122.408904
68.000000, 702838.212722, 4309845.144472, 68.809154, 702717.453740, 4309743.815655, 0.809154, 157.639655
69.000000, 702789.946082, 4309860.465947, 69.420500, 702696.573872, 4309782.117361, 0.420500, 121.888763
70.000000, 702736.449787, 4309838.420541, 70.853772, 702598.809139, 4309722.926324, 0.853772, 179.677105
70.000000, 702832.097156, 4309851.288688, 70.393974, 702750.158818, 4309782.534259, 0.393974, 106.962904
70.000000, 702835.254574, 4309871.926307, 70.425780, 702768.661675, 4309816.048230, 0.425780, 86.930856
71.000000, 702793.475650, 4309832.643252, 71.868133, 702637.560063, 4309701.814541, 0.868133, 203.533344
72.000000, 702779.798524, 4309840.472219, 72.424924, 702685.347141, 4309761.218099, 0.424924, 123.297524
72.000000, 702873.054271, 4309846.097139, 72.414240, 702795.762619, 4309781.241743, 0.414240, 100.897086
