launchTime, launchX, launchY, landTime, landX, landY, FlightTime, Distance
4.000000, 702815.587455, 4309880.397879, 4.316253, 702853.013548, 4309875.137985, 0.316253, 37.793901
4.000000, 702854.617875, 4309960.460872, 4.333582, 702900.554276, 4309954.004932, 0.333582, 46.387844
5.000000, 702989.144651, 4309957.812080, 5.465005, 703045.317226, 4309949.917540, 0.465005, 56.724615
5.000000, 702988.056004, 4309964.570360, 5.465005, 703044.228579, 4309956.675820, 0.465005, 56.724615
8.000000, 702817.979839, 4309879.127586, 8.584202, 702898.570943, 4309867.801245, 0.584202, 81.383118
9.000000, 702991.138113, 4309959.690259, 9.305339, 703022.374198, 4309955.300314, 0.305339, 31.543060
10.000000, 702825.739401, 4309935.067205, 10.333582, 702870.852627, 4309928.726955, 0.333582, 45.556579
12.000000, 702854.264282, 4309877.042463, 12.555280, 702929.381171, 4309866.485472, 0.555280, 75.855106
13.000000, 702654.544199, 4309850.628433, 13.546367, 702725.171579, 4309840.702402, 0.546367, 71.321476
16.000000, 702774.710119, 4310027.482049, 16.519127, 702845.033182, 4310017.598787, 0.519127, 71.014168
18.000000, 702669.171243, 4309850.235186, 18.582519, 702741.133644, 4309840.121530, 0.582519, 72.669617
20.000000, 702850.788436, 4309943.587542, 20.555280, 702923.600245, 4309933.354510, 0.555280, 73.527373
25.000000, 702830.539504, 4309923.314183, 25.526358, 702901.506118, 4309913.340475, 0.526358, 71.664044
27.000000, 702854.359406, 4309941.264893, 27.333582, 702900.295806, 4309934.808952, 0.333582, 46.387844
28.000000, 702858.686640, 4309882.168106, 28.301948, 702895.149826, 4309877.043539, 0.301948, 36.821530
29.000000, 702902.729035, 4309912.855975, 29.301948, 702939.354822, 4309907.708556, 0.301948, 36.985729
32.000000, 702859.173079, 4309868.008625, 32.503640, 702934.360987, 4309857.441654, 0.503640, 75.926822
32.000000, 702940.139114, 4309906.861510, 32.333582, 702977.669738, 4309901.586925, 0.333582, 37.899459
35.000000, 702857.973438, 4309885.005651, 35.484956, 702920.857104, 4309876.167928, 0.484956, 63.501660
36.000000, 702896.719308, 4309878.687698, 36.503640, 702971.329067, 4309868.201980, 0.503640, 75.342991
37.000000, 702882.453692, 4309930.406123, 37.533588, 702951.733333, 4309920.669505, 0.533588, 69.960492
39.000000, 702928.366925, 4309929.766742, 39.321021, 702964.953849, 4309924.624786, 0.321021, 36.946485
46.000000, 702932.075593, 4309931.628249, 46.519127, 703001.194943, 4309921.914158, 0.519127, 69.798625
47.000000, 702856.565628, 4310020.536862, 47.292411, 702888.490686, 4310016.050088, 0.292411, 32.238804
52.000000, 702870.634664, 4309867.874036, 52.503640, 702946.372904, 4309857.229720, 0.503640, 76.482563
67.000000, 702913.076775, 4309876.789140, 67.321021, 702958.236966, 4309870.442289, 0.321021, 45.604006
68.000000, 702907.238437, 4309887.901426, 68.484956, 702980.964873, 4309877.539851, 0.484956, 74.450988
69.000000, 703004.387234, 4309995.025233, 69.511897, 703072.341772, 4309985.474846, 0.511897, 68.622366
75.000000, 702973.197002, 4309890.098415, 75.496510, 703033.951667, 4309881.559904, 0.496510, 61.351736
83.000000, 702945.752015, 4309875.106707, 83.470360, 703001.307256, 4309867.298927, 0.470360, 56.101214
83.000000, 702970.018421, 4309875.457223, 83.496510, 703032.106160, 4309866.731361, 0.496510, 62.697910
84.000000, 702901.198872, 4310017.333020, 84.306716, 702932.290298, 4310012.963405, 0.306716, 31.396980
