launchTime, launchX, launchY, landTime, landX, landY, FlightTime, Distance
60.000000, 702864.898020, 4309975.750276, 60.333582, 702935.999399, 4309975.750276, 0.333582, 71.101379
61.000000, 702913.844140, 4309931.070703, 61.345469, 702993.079291, 4309931.070703, 0.345469, 79.235150
61.000000, 702898.689550, 4309947.118915, 61.549325, 703056.811815, 4309947.118915, 0.549325, 158.122264
61.000000, 703005.378505, 4309977.683066, 61.513066, 703126.797034, 4309977.683066, 0.513066, 121.418529
61.000000, 702999.780158, 4309983.738000, 61.300571, 703060.483972, 4309983.738000, 0.300571, 60.703814
62.000000, 702828.773480, 4309936.867698, 62.634245, 702983.041733, 4309936.867698, 0.634245, 154.268253
63.000000, 702903.168360, 4309917.850553, 63.563891, 703040.309116, 4309917.850553, 0.563891, 137.140756
63.000000, 702907.499944, 4309944.560756, 63.550758, 703067.159280, 4309944.560756, 0.550758, 159.659336
63.000000, 702664.065034, 4309922.792754, 63.697001, 702853.896942, 4309922.792754, 0.697001, 189.831907
64.000000, 702968.524382, 4309880.783476, 64.321042, 703036.517076, 4309880.783476, 0.321042, 67.992694
64.000000, 702899.987138, 4309916.553770, 64.333582, 702970.575680, 4309916.553770, 0.333582, 70.588542
64.000000, 702825.056552, 4309945.660987, 64.585612, 702976.122432, 4309945.660987, 0.585612, 151.065879
64.000000, 702998.064618, 4309957.013597, 64.295802, 703058.170869, 4309957.013597, 0.295802, 60.106250
64.000000, 703007.073659, 4309978.159272, 64.319644, 703068.025337, 4309978.159272, 0.319644, 60.951678
64.000000, 702983.874428, 4309936.206528, 64.295802, 703043.725937, 4309936.206528, 0.295802, 59.851509
64.000000, 702854.481729, 4309921.977670, 64.350493, 702937.567612, 4309921.977670, 0.350493, 83.085883
