launchTime, launchX, launchY, landTime, landX, landY, FlightTime, Distance
0.000000, 702654.201492, 4309944.525159, 0.403984, 702575.985303, 4309878.893983, 0.403984, 102.103984
0.000000, 702654.201492, 4309912.737481, 0.975401, 702523.285116, 4309802.885599, 0.975401, 170.899191
1.000000, 702653.103036, 4309935.100043, 1.403984, 702590.959377, 4309882.955322, 0.403984, 81.122785
1.000000, 702653.084554, 4309912.428477, 1.260894, 702604.886777, 4309871.985740, 0.260894, 62.917729
1.000000, 702655.633521, 4309935.306611, 1.978440, 702466.859528, 4309776.906423, 0.978440, 246.426947
2.000000, 702651.910444, 4309903.116094, 2.425780, 702597.684070, 4309857.614764, 0.425780, 70.787504
3.000000, 702650.922821, 4309938.960509, 3.403984, 702562.203348, 4309864.516031, 0.403984, 115.815047
5.000000, 702648.516978, 4309888.699795, 5.425780, 702583.189852, 4309833.883828, 0.425780, 85.278507
5.000000, 702648.516978, 4309888.699795, 5.267193, 702613.156732, 4309859.029025, 0.267193, 46.159523
6.000000, 702647.693116, 4309956.116677, 6.932831, 702510.913877, 4309841.345268, 0.932831, 178.552616
14.000000, 702661.060064, 4309938.087227, 14.935668, 702485.908431, 4309791.117556, 0.935668, 228.644219
16.000000, 702528.561327, 4309855.460791, 16.992582, 702359.076021, 4309713.245734, 0.992582, 221.247353
26.000000, 702553.780102, 4309874.108430, 26.403984, 702474.305626, 4309807.421427, 0.403984, 103.746560
31.000000, 702667.695345, 4309949.664110, 31.403984, 702614.363189, 4309904.913118, 0.403984, 69.620185
48.000000, 702525.580873, 4309938.933341, 48.943318, 702388.577131, 4309823.973551, 0.943318, 178.845684
50.000000, 702673.600290, 4309849.660100, 50.463822, 702589.985403, 4309779.498880, 0.463822, 109.151483
50.000000, 702528.058156, 4309939.236231, 50.943318, 702391.054414, 4309824.276441, 0.943318, 178.845684
58.000000, 702535.663800, 4309938.002406, 58.853772, 702387.526120, 4309813.700134, 0.853772, 193.380007
59.000000, 702526.408563, 4309946.224507, 59.853772, 702405.208572, 4309844.525639, 0.853772, 158.215352
65.000000, 702539.027894, 4309940.858548, 65.853772, 702424.356437, 4309844.637771, 0.853772, 149.692956
68.000000, 702541.837098, 4309937.045385, 68.863986, 702407.524179, 4309824.343464, 0.863986, 175.333064
105.000000, 702565.458047, 4309944.386978, 105.881641, 702428.986170, 4309829.873476, 0.881641, 178.151383
