launchTime, launchX, launchY, landTime, landX, landY, FlightTime, Distance
0.000000, 702621.000000, 4309972.500000, 0.615596, 702772.354366, 4309972.500000, 0.615596, 151.354366
0.000000, 702708.000000, 4309982.000000, 0.610356, 702846.482317, 4309982.000000, 0.610356, 138.482317
1.000000, 702623.057202, 4309991.008909, 1.615596, 702774.411568, 4309991.008909, 0.615596, 151.354366
1.000000, 702707.879743, 4309968.989164, 1.359091, 702781.028308, 4309968.989164, 0.359091, 73.148565
2.000000, 702707.489328, 4309985.174199, 2.359091, 702780.637893, 4309985.174199, 0.359091, 73.148565
5.000000, 702707.260702, 4309978.740830, 5.610356, 702845.743019, 4309978.740830, 0.610356, 138.482317
16.000000, 702717.365712, 4309975.068473, 16.610356, 702855.848029, 4309975.068473, 0.610356, 138.482317
20.000000, 702857.340315, 4309975.415621, 20.578702, 703004.813381, 4309975.415621, 0.578702, 147.473066
22.000000, 702725.813663, 4309982.323500, 22.685966, 702911.800254, 4309982.323500, 0.685966, 185.986591
23.000000, 702644.387238, 4309972.664458, 23.643934, 702801.130874, 4309972.664458, 0.643934, 156.743637
23.000000, 702858.717564, 4309978.303026, 23.333582, 702929.500234, 4309978.303026, 0.333582, 70.782670
23.000000, 702912.485906, 4309981.590323, 23.534929, 703048.841630, 4309981.590323, 0.534929, 136.355724
24.000000, 702912.852479, 4309982.559708, 24.350493, 702991.840960, 4309982.559708, 0.350493, 78.988481
25.000000, 702725.358012, 4309974.471960, 25.685966, 702911.344604, 4309974.471960, 0.685966, 185.986591
25.000000, 702858.363617, 4309989.266566, 25.333582, 702929.146288, 4309989.266566, 0.333582, 70.782670
27.000000, 702863.164156, 4309985.432431, 27.578702, 703013.061145, 4309985.432431, 0.578702, 149.896989
27.000000, 703050.365310, 4309981.956351, 27.559334, 703233.734928, 4309981.956351, 0.559334, 183.369618
28.000000, 703013.636167, 4309984.606046, 28.526792, 703134.663167, 4309984.606046, 0.526792, 121.027000
29.000000, 702730.216172, 4309970.349302, 29.374164, 702815.000596, 4309970.349302, 0.374164, 84.784424
30.000000, 702802.420407, 4309974.596841, 30.344017, 702881.710950, 4309974.596841, 0.344017, 79.290544
31.000000, 703009.627284, 4309977.307061, 31.526792, 703130.654284, 4309977.307061, 0.526792, 121.027000
33.000000, 702882.991619, 4309974.917399, 33.345469, 702963.459030, 4309974.917399, 0.345469, 80.467411
34.000000, 702996.343734, 4309983.247905, 34.513066, 703117.762478, 4309983.247905, 0.513066, 121.418744
35.000000, 703012.412711, 4309973.058657, 35.319644, 703081.853550, 4309973.058657, 0.319644, 69.440840
35.000000, 703118.140945, 4309984.180303, 35.542165, 703256.567312, 4309984.180303, 0.542165, 138.426368
36.000000, 702651.864949, 4310011.616701, 36.349042, 702711.230037, 4310011.616701, 0.349042, 59.365088
36.000000, 702964.691557, 4309975.379882, 36.557796, 703102.538799, 4309975.379882, 0.557796, 137.847241
37.000000, 703082.567105, 4309973.907462, 37.543473, 703250.853065, 4309973.907462, 0.543473, 168.285960
39.000000, 702866.518050, 4309996.335013, 39.306716, 702925.959394, 4309996.335013, 0.306716, 59.441343
39.000000, 702853.800936, 4309999.756691, 39.579927, 703005.488353, 4309999.756691, 0.579927, 151.687417
39.000000, 703017.077086, 4309982.434325, 39.319644, 703086.517925, 4309982.434325, 0.319644, 69.440840
40.000000, 702796.743625, 4309975.086117, 40.618841, 702950.865842, 4309975.086117, 0.618841, 154.122217
40.000000, 702795.781890, 4309990.396230, 40.599899, 702945.768380, 4309990.396230, 0.599899, 149.986491
41.000000, 702845.413776, 4309964.495960, 41.355518, 702926.211810, 4309964.495960, 0.355518, 80.798035
41.000000, 703104.371842, 4309975.093188, 41.542096, 703264.208141, 4309975.093188, 0.542096, 159.836299
