launchTime, launchX, launchY, landTime, landX, landY, FlightTime, Distance
1.000000, 702652.067137, 4309948.242499, 1.596980, 702789.870878, 4309948.242499, 0.596980, 137.803740
2.000000, 702818.969158, 4309932.078593, 2.628103, 702976.408054, 4309932.078593, 0.628103, 157.438896
2.000000, 702652.876087, 4309963.562885, 2.596980, 702790.679827, 4309963.562885, 0.596980, 137.803740
5.000000, 702997.394293, 4309966.358490, 5.513066, 703118.813037, 4309966.358490, 0.513066, 121.418744
6.000000, 702902.844169, 4309926.301762, 6.563891, 703039.984925, 4309926.301762, 0.563891, 137.140756
6.000000, 702977.881103, 4309932.262766, 6.521320, 703100.837371, 4309932.262766, 0.521320, 122.956267
7.000000, 703101.657990, 4309931.677170, 7.333582, 703194.756007, 4309931.677170, 0.333582, 93.098017
8.000000, 702977.457176, 4309933.733700, 8.324412, 703061.738817, 4309933.733700, 0.324412, 84.281641
9.000000, 702659.444838, 4309922.410479, 9.690192, 702843.631216, 4309922.410479, 0.690192, 184.186378
9.000000, 703001.859066, 4309971.664349, 9.300571, 703062.562880, 4309971.664349, 0.300571, 60.703814
9.000000, 703062.231076, 4309934.622615, 9.314875, 703122.906977, 4309934.622615, 0.314875, 60.675900
10.000000, 702825.016705, 4309900.224950, 10.333582, 702912.310504, 4309900.224950, 0.333582, 87.293799
10.000000, 703120.640729, 4309967.050304, 10.542165, 703259.067097, 4309967.050304, 0.542165, 138.426368
11.000000, 702974.546845, 4309894.135132, 11.539137, 703107.452988, 4309894.135132, 0.539137, 132.906143
11.000000, 703062.453251, 4309934.802262, 11.549034, 703232.945722, 4309934.802262, 0.549034, 170.492470
11.000000, 703063.620875, 4309971.245348, 11.344017, 703135.280333, 4309971.245348, 0.344017, 71.659458
11.000000, 703259.673900, 4309966.246209, 11.357163, 703366.434038, 4309966.246209, 0.357163, 106.760139
12.000000, 702911.686450, 4309935.988620, 12.365567, 702993.156468, 4309935.988620, 0.365567, 81.470017
12.000000, 702730.118152, 4309970.271666, 12.685966, 702916.104743, 4309970.271666, 0.685966, 185.986591
12.000000, 702730.118152, 4309970.271666, 12.374164, 702814.902576, 4309970.271666, 0.374164, 84.784424
12.000000, 702913.435159, 4309900.340397, 12.557963, 703068.535406, 4309900.340397, 0.557963, 155.100246
13.000000, 702660.648693, 4309878.037859, 13.394262, 702743.829578, 4309878.037859, 0.394262, 83.180885
13.000000, 702844.852998, 4309921.609520, 13.610732, 703000.274180, 4309921.609520, 0.610732, 155.421183
13.000000, 703124.554296, 4309934.698959, 13.581535, 703306.010688, 4309934.698959, 0.581535, 181.456392
14.000000, 702913.200264, 4309936.910206, 14.550758, 703072.859600, 4309936.910206, 0.550758, 159.659336
14.000000, 702662.020108, 4310021.694738, 14.349042, 702721.270766, 4310021.694738, 0.349042, 59.250657
14.000000, 703000.336111, 4309961.209882, 14.295802, 703060.442361, 4309961.209882, 0.295802, 60.106250
14.000000, 703124.098649, 4309936.090442, 14.511897, 703283.592243, 4309936.090442, 0.511897, 159.493594
15.000000, 702854.750477, 4309959.119297, 15.355518, 702935.964766, 4309959.119297, 0.355518, 81.214289
15.000000, 702870.209189, 4309967.017911, 15.578702, 703020.103450, 4309967.017911, 0.578702, 149.894261
15.000000, 703068.434273, 4309899.183411, 15.333582, 703155.448753, 4309899.183411, 0.333582, 87.014480
15.000000, 703307.101910, 4309934.917759, 15.912380, 703543.884629, 4309934.917759, 0.912380, 236.782720
16.000000, 702838.969843, 4309889.667350, 16.345469, 702920.241764, 4309889.667350, 0.345469, 81.271921
16.000000, 702667.462125, 4309951.384284, 16.653958, 702835.365279, 4309951.384284, 0.653958, 167.903154
16.000000, 703042.783996, 4309923.556458, 16.549034, 703210.444309, 4309923.556458, 0.549034, 167.660313
16.000000, 703107.084483, 4309892.695043, 16.520285, 703260.878764, 4309892.695043, 0.520285, 153.794280
16.000000, 703108.453852, 4309895.622079, 16.306716, 703194.631646, 4309895.622079, 0.306716, 86.177794
16.000000, 702936.144889, 4309958.123408, 16.560943, 703074.628253, 4309958.123408, 0.560943, 138.483364
16.000000, 703543.856360, 4309933.917768, 16.413044, 703645.936893, 4309933.917768, 0.413044, 102.080533
17.000000, 702972.544314, 4309889.163439, 17.333582, 703055.802388, 4309889.163439, 0.333582, 83.258075
17.000000, 702974.933366, 4309886.928423, 17.539137, 703107.839508, 4309886.928423, 0.539137, 132.906143
17.000000, 702665.194804, 4310024.769410, 17.655570, 702856.538811, 4310024.769410, 0.655570, 191.344007
17.000000, 702861.995078, 4309980.551867, 17.333582, 702933.096457, 4309980.551867, 0.333582, 71.101379
17.000000, 703122.238886, 4309936.839494, 17.301948, 703181.407940, 4309936.839494, 0.301948, 59.169054
17.000000, 703154.660446, 4309899.889390, 17.530112, 703292.471857, 4309899.889390, 0.530112, 137.811412
18.000000, 702665.109848, 4309899.693409, 18.394262, 702748.290733, 4309899.693409, 0.394262, 83.180885
18.000000, 702981.183386, 4309937.566757, 18.485615, 703084.876612, 4309937.566757, 0.485615, 103.693226
18.000000, 703368.046125, 4309964.904564, 18.842282, 703607.350121, 4309964.904564, 0.842282, 239.303996
19.000000, 702981.704498, 4309938.083025, 19.295802, 703041.895498, 4309938.083025, 0.295802, 60.190999
19.000000, 703064.226588, 4309968.396785, 19.570618, 703230.028188, 4309968.396785, 0.570618, 165.801599
19.000000, 703138.633653, 4309970.536239, 19.550488, 703276.200793, 4309970.536239, 0.550488, 137.567140
19.000000, 703001.816490, 4309922.896406, 19.333582, 703087.735214, 4309922.896406, 0.333582, 85.918724
19.000000, 703305.810674, 4309932.948134, 19.470360, 703439.244232, 4309932.948134, 0.470360, 133.433558
19.000000, 703062.529154, 4309961.083087, 19.563664, 703198.567179, 4309961.083087, 0.563664, 136.038025
19.000000, 703056.601929, 4309888.389609, 19.557796, 703208.619707, 4309888.389609, 0.557796, 152.017778
19.000000, 703108.885013, 4309887.293963, 19.306716, 703195.062807, 4309887.293963, 0.306716, 86.177794
20.000000, 703123.868492, 4309961.827135, 20.511897, 703283.362086, 4309961.827135, 0.511897, 159.493594
21.000000, 702667.292185, 4309900.993904, 21.788250, 702877.546851, 4309900.993904, 0.788250, 210.254666
21.000000, 702672.362200, 4309948.099840, 21.653958, 702840.265354, 4309948.099840, 0.653958, 167.903154
21.000000, 702722.530922, 4309982.128445, 21.685966, 702908.517513, 4309982.128445, 0.685966, 185.986591
21.000000, 703012.317479, 4309964.922755, 21.532805, 703144.958500, 4309964.922755, 0.532805, 132.641020
21.000000, 703007.532407, 4309980.592075, 21.319644, 703068.484084, 4309980.592075, 0.319644, 60.951678
21.000000, 703088.268294, 4309921.937796, 21.541939, 703260.587587, 4309921.937796, 0.541939, 172.319293
21.000000, 703209.721956, 4309888.482267, 21.489972, 703314.037026, 4309888.482267, 0.489972, 104.315070
22.000000, 702877.821712, 4309971.553054, 22.345469, 702957.593618, 4309971.553054, 0.345469, 79.771906
22.000000, 702999.422279, 4309984.492526, 22.513066, 703120.841023, 4309984.492526, 0.513066, 121.418744
22.000000, 703366.257121, 4309963.363893, 22.311484, 703450.149680, 4309963.363893, 0.311484, 83.892559
22.000000, 703440.163704, 4309932.035335, 22.746783, 703652.716369, 4309932.035335, 0.746783, 212.552665
23.000000, 702669.446711, 4309876.850331, 23.788250, 702880.060769, 4309876.850331, 0.788250, 210.614057
23.000000, 702857.543337, 4309982.920495, 23.333582, 702928.326007, 4309982.920495, 0.333582, 70.782670
23.000000, 703048.590855, 4309923.417738, 23.549034, 703216.251168, 4309923.417738, 0.549034, 167.660313
23.000000, 703101.036113, 4309938.232778, 23.301948, 703160.521837, 4309938.232778, 0.301948, 59.485724
23.000000, 703113.735105, 4309894.797297, 23.325789, 703200.423612, 4309894.797297, 0.325789, 86.688508
23.000000, 702934.351148, 4309982.202169, 23.529755, 703060.737522, 4309982.202169, 0.529755, 126.386374
23.000000, 703438.965856, 4309931.642260, 23.260894, 703505.059440, 4309931.642260, 0.260894, 66.093584
23.000000, 703208.195327, 4309887.176008, 23.287664, 703268.240591, 4309887.176008, 0.287664, 60.045264
23.000000, 702909.027643, 4309983.061995, 23.534929, 703045.383367, 4309983.061995, 0.534929, 136.355724
23.000000, 703449.394128, 4309964.031238, 23.725041, 703627.706327, 4309964.031238, 0.725041, 178.312199
24.000000, 703108.697603, 4309937.980112, 24.513422, 703262.533536, 4309937.980112, 0.513422, 153.835934
24.000000, 702850.265778, 4309919.441179, 24.350493, 702933.351662, 4309919.441179, 0.350493, 83.085883
24.000000, 703023.689019, 4309965.677297, 24.527313, 703155.012522, 4309965.677297, 0.527313, 131.323503
24.000000, 703023.689019, 4309965.677297, 24.319644, 703093.395578, 4309965.677297, 0.319644, 69.706559
24.000000, 703545.041986, 4309937.690039, 24.930017, 703748.170374, 4309937.690039, 0.930017, 203.128388
24.000000, 703264.183843, 4309893.573932, 24.321021, 703323.724120, 4309893.573932, 0.321021, 59.540277
24.000000, 702878.760575, 4309900.865571, 24.311484, 702939.096001, 4309900.865571, 0.311484, 60.335426
24.000000, 702958.410337, 4309970.798246, 24.333582, 703045.114377, 4309970.798246, 0.333582, 86.704040
24.000000, 702880.293066, 4309877.824527, 24.311484, 702940.628492, 4309877.824527, 0.311484, 60.335426
24.000000, 703268.721733, 4309888.077225, 24.519127, 703397.793708, 4309888.077225, 0.519127, 129.071975
25.000000, 702795.008135, 4309942.871233, 25.635818, 702951.301711, 4309942.871233, 0.635818, 156.293577
25.000000, 702802.152888, 4309962.563151, 25.635818, 702972.060184, 4309962.563151, 0.635818, 169.907296
25.000000, 703451.192428, 4309962.574847, 25.370253, 703557.217910, 4309962.574847, 0.370253, 106.025482
25.000000, 703451.192428, 4309962.574847, 25.260894, 703516.212701, 4309962.574847, 0.260894, 65.020273
25.000000, 703504.936209, 4309930.558184, 25.394286, 703612.198846, 4309930.558184, 0.394286, 107.262637
25.000000, 703504.936209, 4309930.558184, 25.245478, 703568.109034, 4309930.558184, 0.245478, 63.172825
26.000000, 702969.075147, 4309891.663046, 26.321042, 703037.067841, 4309891.663046, 0.321042, 67.992694
26.000000, 702671.645444, 4309877.453705, 26.394262, 702754.631551, 4309877.453705, 0.394262, 82.986107
26.000000, 703071.382977, 4309930.968026, 26.314875, 703156.779883, 4309930.968026, 0.314875, 85.396906
26.000000, 703002.935858, 4309917.718262, 26.521320, 703125.491672, 4309917.718262, 0.521320, 122.555813
26.000000, 703210.204152, 4309890.317383, 26.489972, 703314.519222, 4309890.317383, 0.489972, 104.315070
26.000000, 703516.770579, 4309961.716431, 26.282875, 703577.145333, 4309961.716431, 0.282875, 60.374754
27.000000, 702674.009020, 4309855.708670, 27.365589, 702757.094757, 4309855.708670, 0.365589, 83.085736
27.000000, 702803.928337, 4309962.381794, 27.344017, 702885.064791, 4309962.381794, 0.344017, 81.136454
27.000000, 702859.154136, 4310022.356783, 27.479108, 702976.473116, 4310022.356783, 0.479108, 117.318980
27.000000, 703061.488261, 4309983.442695, 27.344017, 703133.147719, 4309983.442695, 0.344017, 71.659458
27.000000, 703046.847808, 4309982.555763, 27.559334, 703230.199873, 4309982.555763, 0.559334, 183.352065
27.000000, 703516.872894, 4309961.650006, 27.930017, 703721.236757, 4309961.650006, 0.930017, 204.363863
