launchTime, launchX, launchY, landTime, landX, landY, FlightTime, Distance
0.000000, 702705.073786, 4310378.806244, 0.311484, 702705.073786, 4310338.454041, 0.311484, 40.352203
0.000000, 702721.042360, 4310379.459928, 0.533588, 702721.042360, 4310280.293571, 0.533588, 99.166357
6.000000, 702704.804382, 4310336.338863, 6.526358, 702704.804382, 4310247.012996, 0.526358, 89.325867
9.000000, 702731.892458, 4310373.806180, 9.311484, 702731.892458, 4310333.453977, 0.311484, 40.352203
9.000000, 702703.741887, 4310246.486500, 9.484956, 702703.741887, 4310151.880489, 0.484956, 94.606010
9.000000, 702705.716365, 4310246.272207, 9.465343, 702705.716365, 4310175.120125, 0.465343, 71.152082
21.000000, 702708.241567, 4310242.795171, 22.206325, 702708.241567, 4310063.219697, 1.206325, 179.575474
24.000000, 702720.604229, 4310362.635132, 24.562510, 702720.604229, 4310262.902072, 0.562510, 99.733060
33.000000, 702712.860470, 4310242.798564, 33.297180, 702712.860470, 4310202.322791, 0.297180, 40.475773
42.000000, 702687.349683, 4310333.739145, 42.321021, 702687.349683, 4310275.768168, 0.321021, 57.970977
45.000000, 702723.008260, 4310253.861908, 45.292411, 702723.008260, 4310213.563417, 0.292411, 40.298491
45.000000, 702687.214358, 4310274.522270, 45.503640, 702687.214358, 4310181.443964, 0.503640, 93.078306
48.000000, 702724.075143, 4310213.049116, 48.306716, 702724.075143, 4310173.178185, 0.306716, 39.870932
51.000000, 702684.219596, 4310353.533461, 51.311484, 702684.219596, 4310306.709259, 0.311484, 46.824202
54.000000, 702687.706838, 4310252.447760, 54.325789, 702687.706838, 4310194.529612, 0.325789, 57.918148
54.000000, 702686.773063, 4310271.093168, 54.316274, 702686.773063, 4310214.568798, 0.316274, 56.524370
63.000000, 702804.219704, 4310374.264987, 63.548049, 702804.219704, 4310282.359663, 0.548049, 91.905323
66.000000, 702737.147601, 4310307.904092, 66.526358, 702737.147601, 4310218.612909, 0.526358, 89.291183
69.000000, 702726.276633, 4310229.266974, 69.478418, 702726.276633, 4310158.882472, 0.478418, 70.384502
72.000000, 702737.027235, 4310216.652057, 72.478418, 702737.027235, 4310149.089893, 0.478418, 67.562165
81.000000, 702672.123088, 4310271.444875, 81.333582, 702672.123088, 4310224.126317, 0.333582, 47.318558
81.000000, 702736.677538, 4310212.366167, 81.306716, 702736.677538, 4310173.307520, 0.306716, 39.058648
84.000000, 702671.089308, 4310236.195497, 84.316253, 702671.089308, 4310179.828853, 0.316253, 56.366644
84.000000, 702807.366066, 4310358.692304, 84.333582, 702807.366066, 4310300.748722, 0.333582, 57.943582
87.000000, 702742.867621, 4310212.033147, 88.181353, 702742.867621, 4310023.664914, 1.181353, 188.368233
90.000000, 702811.898354, 4310360.594449, 90.548049, 702811.898354, 4310267.576315, 0.548049, 93.018134
90.000000, 702818.700856, 4310381.666425, 90.316253, 702818.700856, 4310334.636522, 0.316253, 47.029904
93.000000, 702670.829756, 4310288.805064, 93.519127, 702670.829756, 4310199.748671, 0.519127, 89.056393
93.000000, 702742.800081, 4310021.848390, 93.260894, 702742.800081, 4309977.401533, 0.260894, 44.446856
93.000000, 702744.144393, 4310022.643933, 93.418060, 702744.144393, 4309952.490130, 0.418060, 70.153803
93.000000, 702817.749181, 4310333.892111, 93.540819, 702817.749181, 4310243.722915, 0.540819, 90.169195
96.000000, 702805.221507, 4310348.585322, 96.540819, 702805.221507, 4310259.370218, 0.540819, 89.215103
99.000000, 702829.942090, 4310425.928349, 99.517445, 702829.942090, 4310347.250522, 0.517445, 78.677827
99.000000, 702742.599836, 4310019.272107, 100.054682, 702742.599836, 4309887.312834, 1.054682, 131.959273
99.000000, 702745.474636, 4310024.543031, 99.260894, 702745.474636, 4309980.096174, 0.260894, 44.446856
102.000000, 702657.767823, 4310317.150118, 102.526358, 702657.767823, 4310229.867493, 0.526358, 87.282625
102.000000, 702657.767823, 4310317.150118, 102.301948, 702657.767823, 4310271.003922, 0.301948, 46.146196
102.000000, 702667.067518, 4310019.084504, 102.310107, 702667.067518, 4309978.602014, 0.310107, 40.482490
105.000000, 702664.337421, 4310022.987224, 105.310107, 702664.337421, 4309982.504734, 0.310107, 40.482490
105.000000, 702737.488086, 4310024.711613, 106.054682, 702737.488086, 4309892.642951, 1.054682, 132.068662
108.000000, 702074.125865, 4310292.030594, 109.038890, 702074.125865, 4310163.497218, 1.038890, 128.533376
108.000000, 702664.266870, 4310016.385418, 108.458467, 702664.266870, 4309924.739320, 0.458467, 91.646098
111.000000, 702073.133286, 4310290.339925, 111.286266, 702073.133286, 4310252.324959, 0.286266, 38.014967
111.000000, 702671.161048, 4310005.361314, 111.310107, 702671.161048, 4309964.835787, 0.310107, 40.525528
114.000000, 702072.168563, 4310288.421961, 114.451930, 702072.168563, 4310237.110634, 0.451930, 51.311327
114.000000, 702658.358541, 4310274.337922, 114.519127, 702658.358541, 4310184.054272, 0.519127, 90.283650
114.000000, 702664.820877, 4309922.846924, 114.306716, 702664.820877, 4309882.668748, 0.306716, 40.178176
117.000000, 702657.414854, 4310287.974605, 117.519127, 702657.414854, 4310198.918212, 0.519127, 89.056393
120.000000, 702734.784655, 4309885.282556, 120.471881, 702734.784655, 4309814.632192, 0.471881, 70.650364
123.000000, 702657.233160, 4310009.666936, 124.112626, 702657.233160, 4309826.829841, 1.112626, 182.837096
123.000000, 702659.011916, 4309923.558565, 123.465343, 702659.011916, 4309839.961382, 0.465343, 83.597183
123.000000, 702667.293188, 4309963.430431, 124.234176, 702667.293188, 4309805.669934, 1.234176, 157.760496
126.000000, 702688.658496, 4309988.525365, 126.276729, 702688.658496, 4309945.286898, 0.276729, 43.238467
126.000000, 702733.415906, 4309813.268789, 127.210033, 702733.415906, 4309665.885786, 1.210033, 147.383003
